artist_name,popularity,followers,genres,album_name,album_id,release_date,total_tracks,available_markets_count,album_type,album_group,album_popularity,album_genres,album_label,track_number,track_name,track_id,duration_ms,explicit,track_popularity,artists
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind (Deluxe Edition),1OSzM1OWqtTnmIJJQpn62Q,2016-11-11,15,2,album,album,34,,Artist Partner,7,Up All Night,5vPTVMplZbchJBYDqOEDWc,190106,False,18,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind (Deluxe Edition),1OSzM1OWqtTnmIJJQpn62Q,2016-11-11,15,2,album,album,34,,Artist Partner,8,Left Right Left,1UTlDJKLysbiFZO7phs9WV,206466,False,18,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind (Deluxe Edition),1OSzM1OWqtTnmIJJQpn62Q,2016-11-11,15,2,album,album,34,,Artist Partner,9,Then There's You,2PpVX0Vu2j1mdeNueMDPZF,214413,False,17,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind (Deluxe Edition),1OSzM1OWqtTnmIJJQpn62Q,2016-11-11,15,2,album,album,34,,Artist Partner,10,Suffer,33SkruahtMKjSqtVQB9ryC,210680,False,21,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind (Deluxe Edition),1OSzM1OWqtTnmIJJQpn62Q,2016-11-11,15,2,album,album,34,,Artist Partner,11,As You Are (feat. Shy Carter),6KYVdZ8ZGi0StyfyJ0Sinr,235920,False,17,"Charlie Puth, Shy Carter"
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind (Deluxe Edition),1OSzM1OWqtTnmIJJQpn62Q,2016-11-11,15,2,album,album,34,,Artist Partner,12,Some Type of Love,1ZG8XKVPjKCHcL9Zmw5dXW,187906,False,19,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind (Deluxe Edition),1OSzM1OWqtTnmIJJQpn62Q,2016-11-11,15,2,album,album,34,,Artist Partner,13,River,4Ccmop9CkDfU6PWtvOEAbn,191360,False,34,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind (Deluxe Edition),1OSzM1OWqtTnmIJJQpn62Q,2016-11-11,15,2,album,album,34,,Artist Partner,14,Does It Feel,4mGXCXP9khO6DfRPI3vIuG,218666,False,33,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind (Deluxe Edition),1OSzM1OWqtTnmIJJQpn62Q,2016-11-11,15,2,album,album,34,,Artist Partner,15,Nothing But Trouble - Instagram Models; Dance Remix,2xbrSRHA5mZdjmemo3bMZa,286829,False,16,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind,3kndSWeE2IYOrZEToZrHEV,2016-01-29,12,2,album,album,54,,Artist Partner,1,One Call Away,7soJgKhQTO8hLP2JPRkL5O,194453,False,53,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind,3kndSWeE2IYOrZEToZrHEV,2016-01-29,12,2,album,album,54,,Artist Partner,2,Dangerously,6GBMbvX7sqyOxT5wWK4hgN,199133,False,46,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind,3kndSWeE2IYOrZEToZrHEV,2016-01-29,12,2,album,album,54,,Artist Partner,3,Marvin Gaye (feat. Meghan Trainor),7rl1z4j7MurMDnn9rHh4M2,190453,False,47,"Charlie Puth, Meghan Trainor"
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind,3kndSWeE2IYOrZEToZrHEV,2016-01-29,12,2,album,album,54,,Artist Partner,4,Losing My Mind,6qHPJleQOdQDEZvbxjY7jR,212213,False,23,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind,3kndSWeE2IYOrZEToZrHEV,2016-01-29,12,2,album,album,54,,Artist Partner,5,We Don't Talk Anymore (feat. Selena Gomez),37FXw5QGFN7uwwsLy8uAc0,217706,False,60,"Charlie Puth, Selena Gomez"
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind,3kndSWeE2IYOrZEToZrHEV,2016-01-29,12,2,album,album,54,,Artist Partner,6,My Gospel,1RdykyqZss4snJH9e58CQJ,210866,False,26,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind,3kndSWeE2IYOrZEToZrHEV,2016-01-29,12,2,album,album,54,,Artist Partner,7,Up All Night,2Y1LWNrO3Ls6tK9LZVehXk,190106,False,24,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind,3kndSWeE2IYOrZEToZrHEV,2016-01-29,12,2,album,album,54,,Artist Partner,8,Left Right Left,4KVzPTFZXByIdBBH9dXiLT,206466,False,26,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind,3kndSWeE2IYOrZEToZrHEV,2016-01-29,12,2,album,album,54,,Artist Partner,9,Then There's You,73E8dgeUdDu8iaZbQv1Fmk,214413,False,23,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind,3kndSWeE2IYOrZEToZrHEV,2016-01-29,12,2,album,album,54,,Artist Partner,10,Suffer,5uAeahijdsH6Pu4es1OVCt,210680,False,32,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind,3kndSWeE2IYOrZEToZrHEV,2016-01-29,12,2,album,album,54,,Artist Partner,11,As You Are (feat. Shy Carter),5T5X1awq0Tzg0NgQ4bSVAE,235920,False,24,"Charlie Puth, Shy Carter"
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind,3kndSWeE2IYOrZEToZrHEV,2016-01-29,12,2,album,album,54,,Artist Partner,12,Some Type of Love,1KoSVcMX0QEQSvqxTemRnR,187906,False,28,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind (Special Edition),5J4SS8wTmXdyIEVYjmHzpZ,2015-11-05,20,184,album,album,71,,Artist Partner,1,One Call Away,5MwIGPDKeDb7SpblcaQP6O,194453,False,69,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind (Special Edition),5J4SS8wTmXdyIEVYjmHzpZ,2015-11-05,20,184,album,album,71,,Artist Partner,2,Dangerously,2EbseeW2cr5zK3J8VuYntw,199133,False,62,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind (Special Edition),5J4SS8wTmXdyIEVYjmHzpZ,2015-11-05,20,184,album,album,71,,Artist Partner,3,Marvin Gaye (feat. Meghan Trainor),6TjWrm6BZytIjHnZcX2TGk,190453,False,37,"Charlie Puth, Meghan Trainor"
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind (Special Edition),5J4SS8wTmXdyIEVYjmHzpZ,2015-11-05,20,184,album,album,71,,Artist Partner,4,Losing My Mind,6A7PbIUxiSwqOlHuMwI7te,212213,False,36,Charlie Puth
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind (Special Edition),5J4SS8wTmXdyIEVYjmHzpZ,2015-11-05,20,184,album,album,71,,Artist Partner,5,We Don't Talk Anymore (feat. Selena Gomez),54PbBpquVfhfrwRwvjSXbI,217706,False,78,"Charlie Puth, Selena Gomez"
Charlie Puth,79,24104980,"soft pop, pop",Nine Track Mind (Special Edition),5J4SS8wTmXdyIEVYjmHzpZ,2015-11-05,20,184,album,album,71,,Artist Partner,6,My Gospel,1mL1pb7iSeTk90dtEsa73j,210866,False,37,Charlie Puth
